type,time (mya),endocranial_volume (cc^3),standard deviation,predicted_body_mass (kg),gender,other,source_name,source_link
sahelanthropus_tchadensis,7,360,,,,,The 82nd Annual Meeting of the American Association of Physical Anthropologists (2013),https://meeting.physanth.org/program/2013/session16/bienvenu-2013-the-endocast-of-sahelanthropus-tchadensis-the-earliest-known-hominid-7-ma-chad.html
sahelanthropus_tchadensis,6,380,,,,,Introduction to Physical Anthropology,textbook
sahelanthropus_tchadensis,6,320,,,,,Introduction to Physical Anthropology,textbook
sahelanthropus_tchadensis,6,320,,,,,lecture 2019/10/14,
sahelanthropus_tchadensis,7,380,,,,,lecture 2019/10/14,
sahelanthropus_tchadensis,6,350,,,,,Introduction to Physical Anthropology,textbook
sahelanthropus_tchadensis,7,370,,,,,The 82nd Annual Meeting of the American Association of Physical Anthropologists (2013),https://meeting.physanth.org/program/2013/session16/bienvenu-2013-the-endocast-of-sahelanthropus-tchadensis-the-earliest-known-hominid-7-ma-chad.html
ardipithecus_ramidus,4.4,350,,,,,Introduction to Physical Anthropology,textbook
ardipithecus_ramidus,find,350,,,,, lecture 2019/10/14,
ardipithecus_ramidus,4.4,300,,,,,Introduction to Physical Anthropology,textbook
australopithecus_afarensis,,,,,,,,
australopithecus_afarensis,3.9,375,,,,,Genus Australopithecus,http://web.missouri.edu/~flinnm/courses/mah/factfiles/australopithecus.htm
australopithecus_afarensis,3,550,,,,,Genus Australopithecus,http://web.missouri.edu/~flinnm/courses/mah/factfiles/australopithecus.htm
australopithecus_africanus,2.75,485,,27.85,F,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
australopithecus_africanus,2.75,428,,26.638,F,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
australopithecus_africanus,3.3,405,,,,,Genus Australopithecus,http://web.missouri.edu/~flinnm/courses/mah/factfiles/australopithecus.htm
australopithecus_africanus,2.1,440,,,,,Genus Australopithecus,http://web.missouri.edu/~flinnm/courses/mah/factfiles/australopithecus.htm
australopithecus_africanus,3.67,440,,,,,Introduction to Physical Anthropology,
australopithecus_sebida,2,420,,,,,Introduction to Physical Anthropology,
australopithecus_aethiopicus,2.5,410,,36.666,M,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
australopithecus_boisei,1.8,530,,57.603,M,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
australopithecus_boisei,1.7,500,,31.979,F,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
australopithecus_boisei,1.7,510,,69.843,M,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
paranthropus,2,530,,,,,Introduction to Physical Anthropology,
paranthropus_aethiopicus,2.5,410,,,,,Introduction to Physical Anthropology,
paranthropus,2,510,,,,,Introduction to Physical Anthropology,
homo_rudolfensis,1.89,752,,45.597,M,,The evolution of body mass and relative brain size in fossil hominids,https://www-sciencedirect-com.aurarialibrary.idm.oclc.org/science/article/pii/S0047248496900214
